"team id","tean name","team group","team affiliation","award","team members"
"206","卡丘领域大师","正式队伍","浙江工商大学","Bronze Medalist","俞飞洋、倪超、刘冠轩"
"221","Just a Way","正式队伍","中南大学","Bronze Medalist","高雨涵、朱天乐、周学恒"
"85","巴巴圣德","正式队伍","黄冈师范学院","Bronze Medalist","张荣臻、张泰林、刘翔宇"
"202","人为什么要起床","正式队伍","长沙理工大学","Bronze Medalist","徐彬峰、詹一夫、王兴宇"
"190","新的开始","正式队伍","西南科技大学","Bronze Medalist","游克峰、朱杰、刘雨凡"
"219","在路上了","正式队伍","中国科学技术大学","Bronze Medalist","朱雨田、王少白、孙悦淳"
"75","我是谁？我在哪？","正式队伍","华南师范大学","Bronze Medalist","袁浩轩、黄家谦、曾天乐"
"151","我们三个不玩原神","正式队伍","深圳北理莫斯科大学","Bronze Medalist","王司晨、赵欣语、杨熠鑫"
"163","梦幻小丑","正式队伍","天津仁爱学院","Bronze Medalist","李安磊、方思源"
"216","地能儿是这样的","正式队伍","中国地质大学（武汉）","Bronze Medalist","赵传成、李诏天、潘敖"
"198","小爱同学，想个队名","正式队伍","云南大学","Bronze Medalist","杨佳祺、林逸泉、李明康"
"52","一梦华胥，旅途的终点","正式队伍","河海大学","Bronze Medalist","郭校廷、余一鸣、张时钊"
"162","其实我是起名废物","正式队伍","天津工业大学","Bronze Medalist","郭梦贞、邬程毅、徐振业"
"94","ccw","正式队伍","江西理工大学","Bronze Medalist","蔡结、陈云杰、吴仕贤"
"113","油饼包烧卖","正式队伍","南京理工大学","Bronze Medalist","何平、徐菲阳、李锐东"
"168","我的青春AC物语果然没有恋爱","正式队伍","武汉纺织大学","Bronze Medalist","刘洋、裘贺宝、周黄灏"
"226","云梦泽","正式队伍","重庆大学","Bronze Medalist","冯宇航、张一鸣、许骏扬"
"14","苯环别碰键盘","正式队伍","北京信息科技大学","Bronze Medalist","金成厚、汤锦煌、房承烨"
"90","AC几率只有0和100","正式队伍","江南大学","Bronze Medalist","王志鹏、上官家哲、唐宇喆"
"179","武汉旅游观光团","正式队伍","西安电子科技大学","Bronze Medalist","张益伟、刘佩汉、张亲翰"
"100","武汉两日游","正式队伍","九江学院","Bronze Medalist","何浩、杨宇杰、张泽豪"
"81","且听风吟","正式队伍","华中师范大学","Bronze Medalist","潘芮锐、易嘉鸣、张蓬月"
"203","三脸懵逼","正式队伍","长沙学院","Bronze Medalist","龚珊珊、罗宝升、曾令翔"
"124","队长单身10年换个牌","正式队伍","南阳师范学院","Bronze Medalist","邱志恩、仵蓓文、黄景焜"
"158","《键盘 鼠标 显示器》《空调 湿度 评测机》","正式队伍","沈阳师范大学","Bronze Medalist","汪咨安、谌致远、朱少泽"
"191","我将终究顺流入大海","正式队伍","西南民族大学","Bronze Medalist","刘家乐、韦懂生、陈家峻"
"110","我太想进步了","正式队伍","南京工业大学","Bronze Medalist","杨苏陇、叶劭伟、钱致宁"
"185","牢大，排名这么高不拍坠机吗","正式队伍","西安邮电大学","Bronze Medalist","黄令群、姚正、毋至晨"
"165","温大二队","正式队伍","温州大学","Bronze Medalist","卢恒煜、卢忠正、黄力垚"
"142","昼夜平分时","正式队伍","陕西科技大学","Bronze Medalist","葛建琦、成思明、段焜元"
"109","NJIT_T8_渴望与神里凌华的爱情","正式队伍","南京工程学院","Bronze Medalist","刘传星、丁昊、张诺言"
"121","武大的樱花开了吗？","正式队伍","南京邮电大学","Bronze Medalist","展翼、田晓亮、陈兆锋"
"61","世界将我们遗弃","正式队伍","湖北中医药大学","Bronze Medalist","方沁鸿、李梓恒、陶信予"
"150","我看队友打代码","正式队伍","韶关学院","Bronze Medalist","康丁魁、林日清、周亚男"
"31","心态就是力量","正式队伍","东莞理工学院","Bronze Medalist","黄海、许洪华、许智超"
"153","青春acm少年不会梦见5d0学姐","正式队伍","深圳大学","Bronze Medalist","王荟斐、吴岱琳、徐嘉哲"
"47","这把打银了就睡觉","正式队伍","海南大学","Bronze Medalist","郑朴、吕珅、方政"
"41","流星一条","正式队伍","广西大学","Bronze Medalist","付家锐、韦祖豪、石新阳"
"79","宇宇源刚满十八岁","正式队伍","华中农业大学","Bronze Medalist","黄泽源、周泽宇、孙宇恒"
"77","懒大王","正式队伍","华中科技大学","Bronze Medalist","潘喆、刘正航、向恩泽"
"56","帕鲁小队","正式队伍","河南师范大学","Bronze Medalist","冯常林、荆文超、徐熙涵"
"89","不动的大图书馆","正式队伍","江汉大学","Bronze Medalist","熊振庭、焦子霖、李尧斐"
"115","25浙软点击就送","正式队伍","南京林业大学","Bronze Medalist","喻灯、俞言骐、缪若凡"
"103","求推荐水平阻生智齿拔除大师","正式队伍","闽南师范大学","Bronze Medalist","胡浩荣、龚泽民、林志强"
"133","我想吃麦当劳","正式队伍","厦门大学嘉庚学院","Bronze Medalist","卓子翔、陈文正、孙硕"
"132","背着学妹偷偷WA","正式队伍","三峡大学","Bronze Medalist","李永波、熊庭、谭诗雨"
"86","这是注释!不是11!","正式队伍","惠州学院","Bronze Medalist","龚诚、冼健民、陈冠宇"
"91","扫一遍就过了","正式队伍","江苏大学","First to solve problem I","张道正、赵安杰、庞政"
"33","去年打铁一整年","正式队伍","佛山科学技术学院","First to solve problem K","越静怡、黄佳鋐、蔡璧润"
"15","好好想想","正式队伍","北京邮电大学","First to solve problem B","司睿洋、尹昱钦、张泽文"
"111","错误","正式队伍","南京航空航天大学","First to solve problem F","胡昊天、赵乐坤、吕俊琪"
"174","机械降神","正式队伍","武汉理工大学","First to solve problem E","闫卢昊、朱振傲、侯哲昊"
"10","吃得真香","正式队伍","北京航空航天大学","First to solve problem D","吴昊恒、董雨润、李秉翰"
"111","错误","正式队伍","南京航空航天大学","First to solve problem M","胡昊天、赵乐坤、吕俊琪"
"181","我的队友失踪了","正式队伍","西安交通大学","First to solve problem C","王禹皓、张清扬、邢珂硕"
"135","SDOI2022","正式队伍","山东大学","First to solve problem G","李玉庭、杨昀淇、孔轲祎"
"68","栀晓 II","正式队伍","湖南师范大学","Tenacious Award","唐熙林、魏佳蕾、杨泽旭"
